SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
18.01.2023 00:00:21;;;;23.15
18.01.2023 00:01:21;;;;23.25
18.01.2023 00:02:19;36.87;;1;26.6
18.01.2023 00:03:19;36.87;;1;28.43
18.01.2023 00:04:19;36.87;;1;29.25
18.01.2023 00:05:19;36.87;0.06;2;29.79
18.01.2023 00:06:19;36.87;0;2;30.15
18.01.2023 00:07:19;36.89;1.5;2;30.48
18.01.2023 00:08:19;36.92;1.8;2;30.77
18.01.2023 00:09:19;36.94;1.2;2;31.04
18.01.2023 00:10:19;36.96;1.26;3;31.3
18.01.2023 00:11:19;36.97;0.6;3;31.53
18.01.2023 00:12:19;36.99;0.9;3;31.74
18.01.2023 00:13:19;37;0.6;3;31.94
18.01.2023 00:14:19;37;0.3;3;32.12
18.01.2023 00:15:19;37.01;0.6;3;32.28
18.01.2023 00:16:19;37.02;0.3;3;32.43
18.01.2023 00:17:19;37.02;0.3;3;32.58
18.01.2023 00:18:19;37.03;0.3;3;32.71
18.01.2023 00:19:19;37.03;0;3;32.83
18.01.2023 00:20:19;37.03;0;3;32.94
18.01.2023 00:21:19;37.03;0;3;33.03
18.01.2023 00:22:19;37.03;0;3;33.11
18.01.2023 00:23:19;37.03;0;3;33.19
18.01.2023 00:24:19;37.03;0;3;33.27
18.01.2023 00:25:19;37.02;-0.3;3;33.34
18.01.2023 00:26:19;37.02;-0.3;3;33.4
18.01.2023 00:27:19;37.01;-0.3;3;33.46
18.01.2023 00:28:19;37;-0.6;3;33.52
18.01.2023 00:29:19;37;-0.3;3;33.57
18.01.2023 00:30:19;36.99;-0.6;3;33.64
18.01.2023 00:31:19;36.98;-0.6;3;33.72
18.01.2023 00:32:19;36.97;-0.6;3;33.79
18.01.2023 00:33:19;36.96;-0.6;3;33.86
18.01.2023 00:34:19;36.95;-0.6;3;33.9
18.01.2023 00:35:19;36.94;-0.6;3;33.94
18.01.2023 00:36:19;36.93;-0.6;3;33.98
18.01.2023 00:37:19;36.92;-0.54;4;34.03
18.01.2023 00:38:19;36.91;-0.6;4;34.07
18.01.2023 00:39:19;36.9;-0.3;4;34.1
18.01.2023 00:40:19;36.89;-0.6;4;34.14
18.01.2023 00:41:19;36.88;-0.6;4;34.17
18.01.2023 00:42:19;36.88;-0.3;4;34.2
18.01.2023 00:43:19;36.87;-0.6;4;34.23
18.01.2023 00:44:19;36.86;-0.6;4;34.26
18.01.2023 00:45:19;36.85;-0.6;4;34.29
18.01.2023 00:46:19;36.83;-0.9;4;34.32
18.01.2023 00:47:19;36.82;-0.9;4;34.35
18.01.2023 00:48:19;36.81;-0.6;4;34.38
18.01.2023 00:49:19;36.79;-0.9;4;34.4
18.01.2023 00:50:19;36.78;-0.6;4;34.42
18.01.2023 00:51:19;36.77;-0.9;4;34.45
18.01.2023 00:52:19;36.76;-0.3;4;34.48
18.01.2023 00:53:19;36.75;-0.9;4;34.51
18.01.2023 00:54:19;36.74;-0.3;4;34.53
18.01.2023 00:55:19;36.74;0;4;34.56
18.01.2023 00:56:19;36.74;-0.3;4;34.57
18.01.2023 00:57:19;36.73;-0.6;4;34.57
18.01.2023 00:58:19;36.71;-1.2;4;34.56
18.01.2023 00:59:19;36.69;-1.2;4;34.53
18.01.2023 01:00:19;36.66;-1.8;4;34.5
18.01.2023 01:01:19;36.63;-1.5;4;34.46
18.01.2023 01:02:19;36.61;-1.2;4;34.45
18.01.2023 01:03:19;36.6;-0.9;4;34.45
18.01.2023 01:04:19;36.58;-1.2;4;34.45
18.01.2023 01:05:19;36.56;-0.9;4;34.44
18.01.2023 01:06:19;36.55;-0.9;4;34.35
18.01.2023 01:07:19;36.54;-0.6;4;33.93
18.01.2023 01:08:19;36.53;-0.66;3;33.75
18.01.2023 01:09:19;36.53;0.3;3;33.56
18.01.2023 01:10:19;36.54;0.3;3;33.53
18.01.2023 01:11:19;36.55;0.6;3;33.54
18.01.2023 01:12:19;36.56;0.6;3;33.58
18.01.2023 01:13:19;36.57;0.6;3;33.59
18.01.2023 01:14:19;36.58;0.6;3;33.58
18.01.2023 01:15:19;36.59;0.6;3;33.7
18.01.2023 01:16:19;36.6;0.6;3;33.84
18.01.2023 01:17:19;36.61;0.6;3;33.84
