SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
22.01.2023 00:00:33;36.71;0;3;33.92
22.01.2023 00:01:33;36.71;0;3;33.92
22.01.2023 00:02:33;36.71;0;3;33.92
22.01.2023 00:03:33;36.71;0;3;33.93
22.01.2023 00:04:33;36.71;-0.3;3;33.96
22.01.2023 00:05:33;36.71;0;3;33.98
22.01.2023 00:06:33;36.71;0.3;3;33.99
22.01.2023 00:07:33;36.71;0.06;4;34
22.01.2023 00:08:33;36.72;0.3;4;34.01
22.01.2023 00:09:33;36.72;0.3;4;34.01
22.01.2023 00:10:33;36.72;0;4;34
22.01.2023 00:11:33;36.73;0.24;3;33.98
22.01.2023 00:12:33;36.73;0;3;33.97
22.01.2023 00:13:33;36.73;0.3;3;33.96
22.01.2023 00:14:33;36.73;0;3;33.95
22.01.2023 00:15:33;36.74;0.3;3;33.96
22.01.2023 00:16:33;36.74;0;3;33.97
22.01.2023 00:17:33;36.74;0;3;33.97
22.01.2023 00:18:33;36.74;0;3;33.97
22.01.2023 00:19:33;36.73;-0.3;3;33.95
22.01.2023 00:20:33;36.73;0;3;33.91
22.01.2023 00:21:33;36.74;0.3;3;33.86
22.01.2023 00:22:33;36.74;0.3;3;33.82
22.01.2023 00:23:33;36.74;-0.3;3;33.79
22.01.2023 00:24:33;36.73;-0.3;3;33.76
22.01.2023 00:25:33;36.72;-0.6;3;33.72
22.01.2023 00:26:33;36.72;-0.3;3;33.68
22.01.2023 00:27:33;36.71;-0.6;3;33.65
22.01.2023 00:28:33;36.7;-0.3;3;33.63
22.01.2023 00:29:33;36.7;0;3;33.61
22.01.2023 00:30:33;36.7;-0.3;3;33.59
22.01.2023 00:31:33;36.7;0;3;33.58
22.01.2023 00:32:33;36.69;-0.3;3;33.56
22.01.2023 00:33:33;36.69;-0.3;3;33.54
22.01.2023 00:34:33;36.69;0;3;33.51
22.01.2023 00:35:33;36.69;0.3;3;33.48
22.01.2023 00:36:33;36.69;-0.3;3;33.45
22.01.2023 00:37:33;36.69;0.3;3;33.42
22.01.2023 00:38:33;36.69;0;3;33.39
22.01.2023 00:39:33;36.7;0.6;3;33.37
