SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
11.10.2022 00:00:35;37.55;0;4;35.41
11.10.2022 00:01:35;37.56;0.6;4;35.38
11.10.2022 00:02:35;37.57;0.3;4;35.37
11.10.2022 00:03:35;37.57;0.3;4;35.38
11.10.2022 00:04:35;37.58;0.3;4;35.36
11.10.2022 00:05:35;37.58;0;4;35.41
11.10.2022 00:06:35;37.59;0.6;4;35.43
11.10.2022 00:07:35;37.59;0;4;35.6
11.10.2022 00:08:35;37.59;0;4;35.67
11.10.2022 00:09:35;37.6;0.6;4;35.69
11.10.2022 00:10:35;37.61;0.6;4;35.69
11.10.2022 00:11:35;37.61;0.3;4;35.66
11.10.2022 00:12:35;37.62;0.3;4;35.66
11.10.2022 00:13:35;37.62;0;4;35.69
11.10.2022 00:14:35;37.61;-0.3;4;35.75
11.10.2022 00:15:35;37.61;-0.3;4;35.77
11.10.2022 00:16:35;37.6;-0.3;4;35.82
11.10.2022 00:17:35;37.6;-0.3;4;35.87
11.10.2022 00:18:35;37.6;0;4;35.92
11.10.2022 00:19:35;37.6;0;4;35.85
11.10.2022 00:20:35;37.59;-0.3;4;35.88
11.10.2022 00:21:35;37.59;-0.3;4;35.88
11.10.2022 00:22:35;37.58;-0.3;4;35.94
11.10.2022 00:23:35;37.58;-0.3;4;35.95
11.10.2022 00:24:35;37.58;0;4;35.94
11.10.2022 00:25:35;37.57;-0.3;4;35.94
11.10.2022 00:26:35;37.57;0;4;35.94
11.10.2022 00:27:35;37.57;0;4;35.94
11.10.2022 00:28:35;37.57;-0.3;4;35.95
11.10.2022 00:29:35;37.57;0;4;35.95
11.10.2022 00:30:35;37.56;-0.3;4;35.96
11.10.2022 00:31:35;37.56;0;4;35.97
11.10.2022 00:32:35;37.56;-0.3;4;35.97
11.10.2022 00:33:35;37.56;0;4;35.98
11.10.2022 00:34:35;37.55;-0.3;4;36.01
11.10.2022 00:35:35;37.55;0;4;36
11.10.2022 00:36:35;37.55;-0.3;4;36.01
11.10.2022 00:37:35;37.55;0;4;36.04
11.10.2022 00:38:35;37.54;-0.3;4;36.05
11.10.2022 00:39:35;37.54;0;4;36.11
11.10.2022 00:40:35;37.54;0;4;36.16
11.10.2022 00:41:35;37.54;0;4;36.22
11.10.2022 00:42:35;37.55;0.3;4;36.16
11.10.2022 00:43:35;37.55;0;4;36.03
11.10.2022 00:44:35;37.55;0;4;35.89
11.10.2022 00:45:35;37.55;0;4;35.76
11.10.2022 00:46:35;37.55;0;4;35.7
11.10.2022 00:47:35;37.55;0.3;4;35.63
