SEP=;
DateTime;CoreBodyTemp [C];TempChangeRate [C/h];TempQuality [1(poor) to 4(excellent)];SkinTemp [C]
16.01.2023 07:51:15;;;;17.32
16.01.2023 07:52:15;;;;17.32
16.01.2023 07:53:15;;;;17.32
16.01.2023 07:54:15;;;;17.33
16.01.2023 07:55:15;;;;17.33
16.01.2023 07:56:15;;;;17.33
16.01.2023 07:57:15;;;;17.33
16.01.2023 07:58:15;;;;17.33
16.01.2023 07:59:15;;;;17.33
16.01.2023 08:00:15;;;;17.33
16.01.2023 08:01:15;;;;17.33
16.01.2023 08:02:15;;;;17.33
16.01.2023 08:03:15;;;;17.33
16.01.2023 08:04:15;;;;17.33
16.01.2023 08:05:15;;;;17.32
16.01.2023 08:06:15;;;;17.32
16.01.2023 08:07:15;;;;17.32
16.01.2023 08:08:15;;;;17.32
16.01.2023 08:09:15;;;;17.32
16.01.2023 08:10:15;;;;17.32
16.01.2023 08:11:15;;;;17.32
16.01.2023 08:12:15;;;;17.32
16.01.2023 08:13:15;;;;17.32
16.01.2023 08:14:15;;;;17.32
16.01.2023 08:15:15;;;;17.32
16.01.2023 08:16:15;;;;17.32
16.01.2023 08:17:15;;;;17.32
16.01.2023 08:18:15;;;;17.32
16.01.2023 08:19:15;;;;17.32
16.01.2023 08:20:15;;;;17.32
16.01.2023 08:21:15;;;;17.31
16.01.2023 08:22:15;;;;17.31
16.01.2023 08:23:15;;;;17.31
16.01.2023 08:24:15;;;;17.31
16.01.2023 08:25:15;;;;17.31
16.01.2023 08:26:15;;;;17.31
16.01.2023 08:27:15;;;;17.31
16.01.2023 08:28:15;;;;17.32
16.01.2023 08:29:15;;;;17.32
16.01.2023 08:30:15;;;;17.33
16.01.2023 08:31:15;;;;17.34
16.01.2023 08:32:15;;;;17.37
16.01.2023 08:33:15;;;;17.4
16.01.2023 08:34:15;;;;17.44
16.01.2023 08:35:15;;;;17.48
16.01.2023 08:36:15;;;;17.54
16.01.2023 08:37:15;;;;17.6
16.01.2023 08:38:15;;;;17.68
16.01.2023 08:39:15;;;;17.89
16.01.2023 08:40:15;;;;18.07
16.01.2023 08:41:15;;;;18.21
16.01.2023 08:42:15;;;;18.35
16.01.2023 08:43:15;;;;18.51
16.01.2023 08:44:15;;;;18.65
16.01.2023 08:45:15;;;;18.77
16.01.2023 08:46:15;;;;18.87
16.01.2023 08:47:15;;;;18.96
16.01.2023 08:48:15;;;;19.03
16.01.2023 08:49:15;;;;19.11
16.01.2023 08:50:15;;;;19.18
16.01.2023 08:51:15;;;;19.25
16.01.2023 08:52:15;;;;19.32
16.01.2023 08:53:15;;;;19.38
16.01.2023 08:54:15;;;;19.43
16.01.2023 08:55:15;;;;19.48
16.01.2023 08:56:15;;;;19.52
16.01.2023 08:57:15;;;;19.57
16.01.2023 08:58:15;;;;19.62
16.01.2023 08:59:15;;;;19.67
16.01.2023 09:00:15;;;;19.73
16.01.2023 09:01:15;;;;19.79
16.01.2023 09:02:15;;;;19.86
16.01.2023 09:03:15;;;;19.93
16.01.2023 09:04:15;;;;20.01
16.01.2023 09:05:15;;;;20.08
16.01.2023 09:06:15;;;;20.15
16.01.2023 09:07:15;;;;20.22
16.01.2023 09:08:15;;;;20.29
16.01.2023 09:09:15;;;;20.36
16.01.2023 09:10:15;;;;20.43
16.01.2023 09:11:15;;;;20.5
16.01.2023 09:12:15;;;;20.56
16.01.2023 09:13:15;;;;20.62
16.01.2023 09:14:15;;;;20.68
16.01.2023 09:15:15;;;;20.74
16.01.2023 09:16:15;;;;20.79
16.01.2023 09:17:16;;;;20.85
16.01.2023 09:18:16;;;;20.91
16.01.2023 09:19:16;;;;20.96
16.01.2023 09:20:16;;;;21
16.01.2023 09:21:16;;;;21.06
16.01.2023 09:22:16;;;;21.1
16.01.2023 09:23:16;;;;21.15
16.01.2023 09:24:16;;;;21.19
16.01.2023 09:25:16;;;;21.23
16.01.2023 09:26:16;;;;21.28
16.01.2023 09:27:16;;;;21.32
16.01.2023 09:28:16;;;;21.36
16.01.2023 09:29:16;;;;21.4
16.01.2023 09:30:16;;;;21.45
16.01.2023 09:31:16;;;;21.49
16.01.2023 09:32:16;;;;21.54
16.01.2023 09:33:16;;;;21.57
16.01.2023 09:34:16;;;;21.61
16.01.2023 09:35:16;;;;21.65
16.01.2023 09:36:16;;;;21.68
16.01.2023 09:37:16;;;;21.71
16.01.2023 09:38:16;;;;21.74
16.01.2023 09:39:16;;;;21.77
16.01.2023 09:40:16;;;;21.8
16.01.2023 09:41:16;;;;21.83
16.01.2023 09:42:16;;;;21.85
16.01.2023 09:43:16;;;;21.88
16.01.2023 09:44:16;;;;21.91
16.01.2023 09:45:16;;;;21.93
16.01.2023 09:46:16;;;;21.96
16.01.2023 09:47:16;;;;21.98
16.01.2023 09:48:16;;;;22
16.01.2023 09:49:16;;;;22.03
16.01.2023 09:50:16;;;;22.05
16.01.2023 09:51:16;;;;22.08
16.01.2023 09:52:16;;;;22.1
16.01.2023 09:53:16;;;;22.12
16.01.2023 09:54:16;;;;22.14
16.01.2023 09:55:16;;;;22.16
16.01.2023 09:56:16;;;;22.19
16.01.2023 09:57:16;;;;22.21
16.01.2023 09:58:16;;;;22.23
16.01.2023 09:59:16;;;;22.24
16.01.2023 10:00:16;;;;22.26
16.01.2023 10:01:16;;;;22.28
16.01.2023 10:02:16;;;;22.3
16.01.2023 10:03:16;;;;22.32
16.01.2023 10:04:16;;;;22.33
16.01.2023 10:05:16;;;;22.35
16.01.2023 10:06:16;;;;22.36
16.01.2023 10:07:16;;;;22.38
16.01.2023 10:08:16;;;;22.39
16.01.2023 10:09:16;;;;22.4
16.01.2023 10:10:16;;;;22.42
16.01.2023 10:11:16;;;;22.43
16.01.2023 10:12:16;;;;22.44
16.01.2023 10:13:16;;;;22.46
16.01.2023 10:14:16;;;;22.47
16.01.2023 10:15:16;;;;22.48
16.01.2023 10:16:16;;;;22.49
16.01.2023 10:17:16;;;;22.51
16.01.2023 10:18:16;;;;22.52
16.01.2023 10:19:16;;;;22.53
16.01.2023 10:20:16;;;;22.54
16.01.2023 10:21:16;;;;22.55
16.01.2023 10:22:16;;;;22.57
16.01.2023 10:23:16;;;;22.58
16.01.2023 10:24:16;;;;22.59
16.01.2023 10:25:16;;;;22.6
16.01.2023 10:26:16;;;;22.61
16.01.2023 10:27:16;;;;22.62
16.01.2023 10:28:16;;;;22.64
16.01.2023 10:29:16;;;;22.64
16.01.2023 10:30:16;;;;22.65
16.01.2023 10:31:16;;;;22.66
16.01.2023 10:32:16;;;;22.67
16.01.2023 10:33:16;;;;22.67
16.01.2023 10:34:16;;;;22.68
16.01.2023 10:35:16;;;;22.69
16.01.2023 10:36:16;;;;22.69
16.01.2023 10:37:16;;;;22.7
16.01.2023 10:38:16;;;;22.7
16.01.2023 10:39:16;;;;22.71
16.01.2023 10:40:16;;;;22.72
16.01.2023 10:41:16;;;;22.72
16.01.2023 10:42:16;;;;22.73
16.01.2023 10:43:16;;;;22.74
16.01.2023 10:44:16;;;;22.74
16.01.2023 10:45:16;;;;22.75
16.01.2023 10:46:16;;;;22.76
16.01.2023 10:47:16;;;;22.77
16.01.2023 10:48:16;;;;22.78
16.01.2023 10:49:16;;;;22.79
16.01.2023 10:50:16;;;;22.79
16.01.2023 10:51:16;;;;22.8
16.01.2023 10:52:16;;;;22.81
16.01.2023 10:53:16;;;;22.82
16.01.2023 10:54:16;;;;22.82
16.01.2023 10:55:16;;;;22.83
16.01.2023 10:56:16;;;;22.84
16.01.2023 10:57:16;;;;22.85
16.01.2023 10:58:16;;;;22.85
16.01.2023 10:59:16;;;;22.86
16.01.2023 11:00:16;;;;22.87
16.01.2023 11:01:16;;;;22.88
16.01.2023 11:02:16;;;;22.88
16.01.2023 11:03:16;;;;22.89
16.01.2023 11:04:16;;;;22.9
16.01.2023 11:05:16;;;;22.91
16.01.2023 11:06:16;;;;22.91
16.01.2023 11:07:16;;;;22.92
16.01.2023 11:08:16;;;;22.92
16.01.2023 11:09:16;;;;22.93
16.01.2023 11:10:16;;;;22.94
16.01.2023 11:11:16;;;;22.94
16.01.2023 11:12:16;;;;22.95
16.01.2023 11:13:16;;;;22.95
16.01.2023 11:14:16;;;;22.96
16.01.2023 11:15:16;;;;22.97
16.01.2023 11:16:16;;;;22.97
16.01.2023 11:17:16;;;;22.98
16.01.2023 11:18:16;;;;22.99
16.01.2023 11:19:16;;;;23
16.01.2023 11:20:16;;;;23.01
16.01.2023 11:21:16;;;;23.02
16.01.2023 11:22:16;;;;23.03
16.01.2023 11:23:16;;;;23.04
16.01.2023 11:24:16;;;;23.05
16.01.2023 11:25:16;;;;23.06
16.01.2023 11:26:16;;;;23.07
16.01.2023 11:27:16;;;;23.08
16.01.2023 11:28:16;;;;23.09
16.01.2023 11:29:16;;;;23.1
16.01.2023 11:30:16;;;;23.11
16.01.2023 11:31:16;;;;23.12
16.01.2023 11:32:16;;;;23.14
16.01.2023 11:33:16;;;;23.15
16.01.2023 11:34:16;;;;23.16
